word,bVoice_sym1,bVoice_sym2
worn, woɚn,
die, daɪ,
died, daɪd,
dies, daɪz,
dying,'daɪ jɪŋ,
sir, sɚ,
sirs, sɚɚz,
hard, hɑɚd,
harder,'hɑɚ dɚ,
hardest,'hɑɚ dəst,
honey,'hʌ ni,
sound, saʊnd,
sounded,'saʊn dɪd,
sounding,'saʊn dɪŋ,
sounds, saʊnz,
sex, sɛks,
sexes,'sɛk səz,
hate, heɪt,
hated,'heɪ ɾəd,
hates, heɪts,
hating,'heɪ ɾɪŋ,
suppose, sə 'poʊz,
supposed, sə 'poʊzd,
supposes, sə 'poʊ zɪz,
supposing, sə 'poʊ zɪŋ,
head, hɛd,
heads, hɛdz,
understand, ʌn dɚ 'stænd,
understanding, ʌn dɚ 'stæn dɪŋ,
understands, ʌn dɚ 'stændz,
understood, ʌn dɚ 'stʊd,
whoa, hoʊ,
movie,'mu vi,
movies,'mu viz,
worried,'wɚ id,
worries,'wɚ iz,
worry,'wɚ ɹi,
worrying,'wɚ i ɪŋ,
cool,'ku əl,
cooler,'ku lɚ,
coolest,'ku ləst,
married,'mɛ ɹid,
marries,'meɚ iz,
marry,'mɛ ɹi,
marrying,'mɛ ɹi ɪŋ,
miss, mɪs,
missed, mɪst,
misses,'mɪ sɪz,
missing,'mɪ sɪŋ,
paid, peɪd,
pay, peɪ,
paying,'peɪ jɪŋ,
pays, peɪz,
hour,'aʊ wɚ,
hours, aʊɚz,
crazier,'kɹeɪ zi ɚ,
craziest,'kɹeɪ zi əst,
crazy,'kɹeɪ zi,
change, ʧeɪnʤ,
changed, ʧeɪnʤd,
changes,'ʧeɪn ʤəz,
changing,'ʧeɪn ʤɪŋ,
hot, hɑt,
hotter,'hɑ ɾɚ,
hottest,'hɑ ɾəst,
most, moʊst,
excuse, ɪk 'skjuz,
excused, ɪk 'skjuzd,
excuses, ɪk 'skju sɪz,
excusing, ɪk 'skju zɪŋ,
mother,'mʌ ðɚ,
mothers,'mʌ ðɚz,
check, ʧɛk,
checked, ʧɛkt,
checking,'ʧɛ kɪŋ,
checks, ʧɛks,
pick, pɪk,
picked, pɪkt,
picking,'pɪ kɪŋ,
picks, pɪks,
word, wɚd,
words, wɚdz,
same, seɪm,
yourself, jɚ 'sɛlf,
ready,'ɹɛ ɾi,
seem, sim,
seemed, simd,
seems, simz,
win, wɪn,
winning,'wɪ nɪŋ,
wins, wɪnz,
won, wʌn,
walk, wɔk,
walked, wɔkt,
walking,'wɔ kɪŋ,
walks, wɔks,
father,'fɑ ðɚ,
fathers,'fɑ ðɚz,
stories,'stoɚ iz,
story,'stoɚ ɹi,
already, ɔ 'ɹɛ ɾi,
hope, hoʊp,
hoped, hoʊpt,
hopes, hoʊps,
hoping,'hoʊ pɪŋ,
part, pɑɚt,
parts, pɑɚts,
open,'oʊ pɪn,
opened,'oʊ pɪnd,
opening,'oʊ pə nɪŋ,
opens,'oʊ pənz,
ladies,'leɪ ɾiz,
lady,'leɪ ɹi,
read, ɹɛd,
reading,'ɹi ɾɪŋ,
reads, ɹidz,
drank, dɹæŋk,
drink, dɹɪŋk,
drinking,'dɹɪŋ kɪŋ,
drinks, dɹɪŋks,
drunk, dɹʌŋk,
sleep, slip,
sleeping,'sli pɪŋ,
sleeps, slips,
slept, slɛpt,
number,'nʌm bɚ,
numbers,'nʌm bɚz,
write, ɹaɪt,
writes, ɹaɪts,
writing,'ɹaɪ ɾɪŋ,
written,'ɹɪ tən,
wrote, ɹoʊt,
morning,'moɚ nɪŋ,
mornings,'moɚ nɪŋz,
tomorrow, tə 'mɑ ɹoʊ,
tomorrows, tə 'mɑ ɹoʊz,
next, nɛkst,
phone, foʊn,
phones, foʊnz,
telephone,'tɛ lə foʊn,
telephones,'tɛ lə foʊnz,
four, foɚ,
once, wʌns,
somebody,'sʌm bʌ ɾi,
probably,'pɹɑ bə bli,
without, wɪ 'ðaʊt,
many,'mɛ ni,
such, sʌʧ,
eye, aɪ,
eyes, aɪz,
drive, dɹaɪv,
driven,'dɹɪ vən,
drives, dɹaɪvz,
driving,'dɹaɪ vɪŋ,
drove, dɹoʊv,
wife, waɪf,
wives, waɪvz,
book, bʊk,
books, bʊks,
hang, heɪŋ,
hanged, hæŋd,
hanging,'heɪŋ ɪŋ,
hangs, hæŋz,
hung, hʌŋ,
since, sɪns,
threw, θɹu,
throw, θɹoʊ,
throwing,'θɹoʊ ɪŋ,
thrown, θɹoʊn,
throws, θɹoʊz,
named, neɪmd,
naming,'neɪ mɪŋ,
dead, dɛd,
stand, stænd,
standing,'stæn dɪŋ,
stands, stændz,
stood, stʊd,
myself, maɪ 'sɛlf,
aw, ɔ,
dinner,'dɪ nɚ,
dinners,'dɪ nɚz,
anyone,'ɛ ni wʌn,
hand, hænd,
hands, hænz,
each, iʧ,
anyway,'ɛ ni weɪ,
television,'tɛ lə vɪ ʒɪn,
televisions,'tɛ lə vɪ ʒənz,
learn, lɚn,
learned, lɚnd,
learning,'lɚ nɪŋ,
learns, lɚnz,
shut, ʃʌt,
shuts, ʃʌts,
shutting,'ʃʌ ɾɪŋ,
town, taʊn,
towns, taʊnz,
beautiful,'bju ɾə fəl,
both, boʊθ,
date, deɪt,
dates, deɪts,
spend, spɛnd,
spending,'spɛn dɪŋ,
spends, spɛnz,
spent, spɛnt,
office,'ɑ fɪs,
offices,'ɔ fə səz,
hit, hɪt,
hits, hɪts,
hitting,'hɪ ɾɪŋ,
yet, jɛt,
